id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6102001,0,剑鞘,1,1,0,1,,,0,0,0,0,1000,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_auxiliary_TB_JianQiao_0001,Weapon_TB_M_Auxiliary_1001,新手装,0,1,FuWuQi
6102002,0,轻铁鞘,5,1,0,1,,,0,0,0,0,1000,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_auxiliary_TB_JianQiao_0002,Weapon_TB_M_Auxiliary_1002,任务装PVE,0,1,FuWuQi
6102003,1,精钢鞘,8,7,0,1,,,0,0,0,0,1200,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_auxiliary_TB_JianQiao_0003,Weapon_TB_M_Auxiliary_1003,任务装PVE,0,1,FuWuQi
6102004,1,青锋鞘,18,11,0,1,,,0,0,0,0,1200,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,24,icon_64_equip_auxiliary_TB_JianQiao_0004,Weapon_TB_M_Auxiliary_1004,任务装PVE,0,1,FuWuQi
6102005,1,清云鞘,28,21,0,1,,,0,0,0,0,1200,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,1,0,48,icon_64_equip_auxiliary_TB_JianQiao_0005,Weapon_TB_M_Auxiliary_1005,任务装PVE,0,1,FuWuQi
6102006,1,白虹鞘,38,31,0,1,本装备为PVP装,,2,1,1,1,1500,30,37,0,0,0,0,0,0,0,5,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_auxiliary_TB_JianQiao_0006,Weapon_TB_M_Auxiliary_1006,不再投放的旧版任务装,0,2,FuWuQi
6102007,1,太阿鞘,48,41,0,1,本装备为PVP装,,2,1,1,1,1500,37,45,5,7,0,0,0,0,0,8,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,216,icon_64_equip_auxiliary_TB_JianQiao_0007,Weapon_TB_M_Auxiliary_1007,不再投放的旧版任务装,0,2,FuWuQi
6102008,2,金阙鞘,63,51,0,1,本装备为PVP装,,4,1,1,1,1500,56,69,10,13,0,0,0,0,0,12,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,288,icon_64_equip_auxiliary_TB_JianQiao_0008,Weapon_TB_M_Auxiliary_1008,不再投放的旧版任务装,0,2,FuWuQi
6102009,2,盘岭鞘,73,61,0,1,本装备为PVP装,,6,1,1,1,1500,73,91,14,18,0,0,0,0,0,14,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,384,icon_64_equip_auxiliary_TB_JianQiao_0009,Weapon_TB_M_Auxiliary_1009,不再投放的旧版任务装,0,2,FuWuQi
6102010,2,寒川鞘,83,70,0,1,本装备为PVP装,,8,1,1,1,1500,97,119,20,24,0,0,0,0,0,16,12,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,480,icon_64_equip_auxiliary_TB_JianQiao_0010,Weapon_TB_M_Auxiliary_1010,不再投放的旧版任务装,0,2,FuWuQi
6102011,1,九天鞘,85,70,0,1,本装备为PVP装,,9,1,1,1,1500,110,135,23,28,0,0,0,0,0,17,12,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,600,icon_64_equip_auxiliary_TB_JianQiao_0011,Weapon_TB_M_Auxiliary_1011,未投放装备,0,2,FuWuQi
6102012,1,龙纹鞘,40,31,0,1,本装备为PVP装,,2,1,1,1,1200,29,36,4,4,0,0,0,0,0,6,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,72,icon_64_equip_auxiliary_TB_JianQiao_0012,Weapon_TB_M_Auxiliary_1012,制造装,0,2,FuWuQi
6102013,1,凤仪鞘,50,41,0,1,本装备为PVP装,,2,1,1,1,1200,39,48,6,7,0,0,0,0,0,8,6,0,14,0,4,0,0,0,0,0,0,0,2,0,0,0,108,icon_64_equip_auxiliary_TB_JianQiao_0013,Weapon_TB_M_Auxiliary_1013,制造装,0,2,FuWuQi
6102014,1,破日之鞘,60,51,0,1,本装备为PVP装,,4,1,1,1,1200,52,63,9,12,0,0,0,0,0,11,8,0,17,0,8,0,0,0,0,0,0,0,4,0,0,0,144,icon_64_equip_auxiliary_TB_JianQiao_0014,Weapon_TB_M_Auxiliary_1014,制造装,0,2,FuWuQi
6102015,1,葬月之鞘,70,61,0,1,本装备为PVP装,,6,1,1,1,1200,68,84,13,17,0,0,0,0,0,13,9,0,21,0,12,0,0,0,0,0,0,0,6,0,0,0,192,icon_64_equip_auxiliary_TB_JianQiao_0015,Weapon_TB_M_Auxiliary_1015,制造装,0,2,FuWuQi
6102016,1,碧水之鞘,80,70,0,1,本装备为PVP装,,8,1,1,1,1200,89,109,18,22,0,0,0,0,0,15,11,0,24,0,22,0,0,0,0,0,0,0,11,0,0,0,240,icon_64_equip_auxiliary_TB_JianQiao_0022,Weapon_TB_M_Auxiliary_1016,制造装,0,2,FuWuQi
6102017,1,履霜之鞘,90,70,0,1,本装备为PVP装,,9,1,1,1,1200,115,141,24,30,0,0,0,0,0,17,12,0,28,0,30,0,0,0,0,0,0,0,15,0,0,0,300,icon_64_equip_auxiliary_TB_JianQiao_0026,Weapon_TB_M_Auxiliary_1017,制造装,0,2,FuWuQi
6102018,2,游龙鞘,45,31,0,1,本装备为PVP装,,2,1,1,1,1500,34,41,4,6,0,0,0,0,0,7,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_auxiliary_TB_JianQiao_0012,Weapon_TB_M_Auxiliary_1012,制造装,0,2,FuWuQi
6102019,2,飞凤鞘,55,41,0,1,本装备为PVP装,,2,1,1,1,1500,45,55,7,9,0,0,0,0,0,9,7,0,15,0,6,0,0,0,0,0,0,0,3,0,0,0,216,icon_64_equip_auxiliary_TB_JianQiao_0013,Weapon_TB_M_Auxiliary_1013,制造装,0,2,FuWuQi
6102020,2,舞阳之鞘,65,51,0,1,本装备为PVP装,,4,1,1,1,1500,59,73,11,14,0,0,0,0,0,12,8,0,19,0,10,0,0,0,0,0,0,0,5,0,0,0,288,icon_64_equip_auxiliary_TB_JianQiao_0014,Weapon_TB_M_Auxiliary_1014,制造装,0,2,FuWuQi
6102021,2,沧月之鞘,75,61,0,1,本装备为PVP装,,6,1,1,1,1500,77,95,15,19,0,0,0,0,0,14,10,0,23,0,16,0,0,0,0,0,0,0,8,0,0,0,384,icon_64_equip_auxiliary_TB_JianQiao_0015,Weapon_TB_M_Auxiliary_1015,制造装,0,2,FuWuQi
6102022,2,秋水之鞘,85,70,0,1,本装备为PVP装,,8,1,1,1,1500,102,125,21,26,0,0,0,0,0,16,12,0,26,0,26,0,0,0,0,0,0,0,13,0,0,0,480,icon_64_equip_auxiliary_TB_JianQiao_0022,Weapon_TB_M_Auxiliary_1016,制造装,0,2,FuWuQi
6102023,2,雪魄之鞘,95,70,0,1,本装备为PVP装,,9,1,1,1,1500,129,158,27,34,0,0,0,0,0,18,13,0,29,0,34,0,0,0,0,0,0,0,17,0,0,0,600,icon_64_equip_auxiliary_TB_JianQiao_0026,Weapon_TB_M_Auxiliary_1017,制造装,0,2,FuWuQi
6102024,3,舞凤鞘,63,41,0,1,本装备为PVP装,,2,1,1,1,1800,56,69,10,13,0,0,0,0,0,12,8,0,18,0,8,0,0,0,0,0,0,0,4,0,0,0,432,icon_64_equip_auxiliary_TB_JianQiao_0013,Weapon_TB_M_Auxiliary_1013,制造装,0,2,FuWuQi
6102025,3,日冕之鞘,73,51,0,1,本装备为PVP装,,4,1,1,1,1800,73,91,14,18,0,0,0,0,0,14,10,0,22,0,14,0,0,0,0,0,0,0,7,0,0,0,576,icon_64_equip_auxiliary_TB_JianQiao_0014,Weapon_TB_M_Auxiliary_1014,制造装,0,2,FuWuQi
6102026,3,月华之鞘,83,61,0,1,本装备为PVP装,,6,1,1,1,1800,97,119,20,24,0,0,0,0,0,16,12,0,25,0,24,0,0,0,0,0,0,0,12,0,0,0,768,icon_64_equip_auxiliary_TB_JianQiao_0015,Weapon_TB_M_Auxiliary_1015,制造装,0,2,FuWuQi
6102027,3,沧海之鞘,93,70,0,1,本装备为PVP装,,8,1,1,1,1800,123,151,26,32,0,0,0,0,0,18,13,0,29,0,32,0,0,0,0,0,0,0,16,0,0,0,960,icon_64_equip_auxiliary_TB_JianQiao_0022,Weapon_TB_M_Auxiliary_1016,制造装,0,2,FuWuQi
6102028,3,冰心之鞘,103,70,0,1,本装备为PVP装,,9,1,1,1,1800,151,185,33,41,0,0,0,0,0,20,15,0,32,0,38,0,0,0,0,0,0,0,19,0,0,0,1200,icon_64_equip_auxiliary_TB_JianQiao_0026,Weapon_TB_M_Auxiliary_1017,制造装,0,2,FuWuQi
6102029,3,银蛇鞘,47,30,0,1,,,2,1,1,1,1500,36,44,5,6,0,0,0,0,0,7,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_auxiliary_TB_JianQiao_0006,Weapon_TB_M_Auxiliary_1006,普通话本装（不再产出）,0,2,FuWuQi
6102030,3,龙泉鞘,62,41,0,1,本装备为PVP装,,2,1,1,1,1800,55,68,11,13,0,0,0,0,0,10,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,432,icon_64_equip_auxiliary_TB_JianQiao_0007,Weapon_TB_M_Auxiliary_1007,普通话本装（不再产出）,0,2,FuWuQi
6102031,3,熔金鞘,70,51,0,1,本装备为PVP装,,4,1,1,1,1800,68,84,14,15,0,0,0,0,0,17,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,576,icon_64_equip_auxiliary_TB_JianQiao_0008,Weapon_TB_M_Auxiliary_1008,普通话本装（不再产出）,0,2,FuWuQi
6102032,3,长涉鞘,80,61,0,1,本装备为PVP装,,6,1,1,1,1800,89,109,16,24,0,0,0,0,0,16,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,768,icon_64_equip_auxiliary_TB_JianQiao_0009,Weapon_TB_M_Auxiliary_1009,普通话本装（不再产出）,0,2,FuWuQi
6102033,3,逸风鞘,90,70,0,1,本装备为PVP装,,8,1,1,1,1800,115,141,21,34,0,0,0,0,0,18,13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,960,icon_64_equip_auxiliary_TB_JianQiao_0010,Weapon_TB_M_Auxiliary_1010,普通话本装（不再产出）,0,2,FuWuQi
6102034,3,归鸿鞘,67,50,0,1,本装备为PVP装,,2,1,1,1,1800,63,77,16,20,0,0,0,0,0,14,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,432,icon_64_equip_auxiliary_TB_JianQiao_0016,Weapon_TB_M_Auxiliary_1018,挑战本装（不再产出）,0,2,FuWuQi
6102035,3,流光鞘,77,60,0,1,本装备为PVP装,,4,1,1,1,1800,82,101,22,28,0,0,0,0,0,16,12,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,576,icon_64_equip_auxiliary_TB_JianQiao_0021,Weapon_TB_M_Auxiliary_1019,挑战本装（不再产出）,0,2,FuWuQi
6102036,3,承影鞘,87,70,0,1,本装备为PVP装,,6,1,1,1,1800,107,131,29,36,0,0,0,0,0,18,13,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,768,icon_64_equip_auxiliary_TB_JianQiao_0023,Weapon_TB_M_Auxiliary_1020,挑战本装（不再产出）,0,2,FuWuQi
6102037,3,幽夜鞘,97,70,0,1,本装备为PVP装,,8,1,1,1,1800,135,165,35,43,0,0,0,0,0,20,15,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,960,icon_64_equip_auxiliary_TB_JianQiao_0020,Weapon_TB_M_Auxiliary_1021,挑战本装（不再产出）,0,2,FuWuQi
6102038,4,飞景之鞘,105,81,0,1,本装备为PVP装,,9,1,1,1,2000,156,192,38,48,0,0,0,0,0,22,17,0,35,0,40,0,0,0,0,0,0,0,20,0,0,0,6000,icon_64_equip_auxiliary_TB_JianQiao_0017,Weapon_TB_M_Auxiliary_1022,稀有装,0,2,FuWuQi
