id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6106001,0,秦川逐雪带,1,1,0,1,,飒沓流星剑，白羽没青衫。中原有侠客，一马下冰川。,0,0,0,0,1000,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_belt_M_M_TB_0002,,新手装,0,1,YaoDai
6106002,1,剑鸣广陌带,8,6,0,1,,锈剑匣中鸣，拭来紫光寒。冰雪何阡陌？回风舞残垣。,0,0,0,0,1200,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_belt_M_M_TB_0011,,任务装PVE,0,1,YaoDai
6106003,4,剑啸寒川带,97,65,0,1,本装备为PVP装,长河冻如铁，朔风冷似针。一剑一白马，飞鸿踏雪痕。,6,1,1,1,2000,0,0,0,0,164,118,0,0,0,32,26,0,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_belt_M_M_TB_0009,,稀有装,61001,2,YaoDai
6106004,4,秦风唱晚带,105,81,0,1,本装备为PVP装,秦川何渺渺，落日浅如蓝。迤逦折冰雪，一鞘剑光寒。,9,1,1,1,2000,0,0,0,0,180,129,0,0,0,36,29,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_belt_M_M_TB_0010,,稀有装,61002,2,YaoDai
6106005,4,朔风吟月带,110,85,0,1,本装备为PVP装,论武需思量，沉剑长梦萦。归去掩青卷，江湖不留名。,9,1,1,1,2000,0,0,0,0,190,136,0,0,0,41,32,0,0,0,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_belt_M_M_TB_0013,,稀有装,61003,2,YaoDai
6106006,4,孤影极寒带,115,90,0,1,本装备为PVP装,千山飞鸟渡，冰雪误空船。寒夜惊回风，孤影何时还。,9,1,1,1,2000,0,0,0,0,201,144,0,0,0,48,37,0,0,0,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_belt_M_M_TB_0014,,稀有装,61004,2,YaoDai
6206001,0,燕云飞沙带,1,1,0,2,,罡风卷铁马，大浪吹黄沙。挽弓射夜月，陈兵向天涯。,0,0,0,0,1000,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_belt_M_M_SW_0020,,新手装,0,1,YaoDai
6206002,1,七月流火带,8,6,0,2,,心宿正中天，流火归岁节。平林长漠漠，征战犹未绝。,0,0,0,0,1200,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_belt_M_M_SW_0013,,任务装PVE,0,1,YaoDai
6206003,4,勇冠三军带,97,65,0,2,本装备为PVP装,战甲依然在，千里可穿杨。凝影含清光，铁臂挽神枪。,6,1,1,1,2000,0,0,0,0,172,110,0,0,0,29,29,0,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_belt_M_M_SW_0014,,稀有装,62001,2,YaoDai
6206004,4,扬沙万里带,105,81,0,2,本装备为PVP装,瀚海白骨枯，飞砂掩旱湖。荒碑不可立，何疆不是墓。,9,1,1,1,2000,0,0,0,0,189,121,0,0,0,33,33,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_belt_M_M_SW_0015,,稀有装,62002,2,YaoDai
6206005,4,扬名千秋带,110,85,0,2,本装备为PVP装,天龙破阵处，威名万古扬。碧血映丹心，纵死侠骨香。,9,1,1,1,2000,0,0,0,0,199,127,0,0,0,41,41,0,0,0,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_belt_M_M_SW_0016,,稀有装,62003,2,YaoDai
6206006,4,碧血铭沙带,115,90,0,2,本装备为PVP装,碧血掩紫陌，白骨嗅黄沙。当年未开国，雕弓射群鸦。,9,1,1,1,2000,0,0,0,0,210,134,0,0,0,48,48,0,0,0,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_belt_M_M_SW_0017,,稀有装,62004,2,YaoDai
6306001,0,醉饮湖湘带,1,1,0,3,,猱身缚长龙，醉眼擒大虫。何曾乞富贵？笑卧江湖中。,0,0,0,0,1000,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_belt_K_K_GB_0014,,新手装,0,1,YaoDai
6306002,1,侠影疏狂带,8,6,0,3,,人隐山水中，市井亦降龙。一拳打一腿，天地宽如钟。,0,0,0,0,1200,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_belt_K_K_GB_0013,,任务装PVE,0,1,YaoDai
6306003,4,侠骨多情带,97,65,0,3,本装备为PVP装,威武不肯屈，富贵不愿淫。醉来不觉醒，犹记我多情。,6,1,1,1,2000,0,0,0,0,164,132,0,0,0,32,26,0,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_belt_K_K_GB_0015,,稀有装,63001,2,YaoDai
6306004,4,醉打西风带,105,81,0,3,本装备为PVP装,饮中有真仙，心远不能闲。江湖独酌夜，西风扑面来。,9,1,1,1,2000,0,0,0,0,180,144,0,0,0,36,29,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_belt_K_K_GB_0016,,稀有装,63002,2,YaoDai
6306005,4,醉卷黄河带,110,85,0,3,本装备为PVP装,肝胆大如斗，脊骨硬如山。天作穹庐被，醉卧黄河边。,9,1,1,1,2000,0,0,0,0,190,151,0,0,0,45,36,0,0,0,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_waist_K_K_GB_0017,,稀有装,63003,2,YaoDai
6306006,4,酩酊风流带,115,90,0,3,本装备为PVP装,胡姬纵歌舞，扰人清宵梦。酩酊醉不得，空窗几度风。,9,1,1,1,2000,0,0,0,0,201,160,0,0,0,53,42,0,0,0,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_belt_M_M_GB_0018,,稀有装,63004,2,YaoDai
6406001,0,竹影飞花带,1,1,0,4,,天梯勾石栈，逍遥出蜀山。漫天飞花雨，只影扇光寒。,0,0,0,0,1000,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_belt_M_M_TM_0011,,新手装,0,1,YaoDai
6406002,1,琼林倚风带,8,6,0,4,,飞花疑是梦，摘叶破白云。长啸关不住，几多清光影。,0,0,0,0,1200,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_belt_M_M_TM_0010,,任务装PVE,0,1,YaoDai
6406003,4,琼宫弄月带,97,65,0,4,本装备为PVP装,瞬息人天上，瞬息月影下。见血封喉处，铁骨半含纱。,6,1,1,1,2000,0,0,0,0,157,125,0,0,0,32,0,26,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_belt_M_M_TM_0012,,稀有装,64001,2,YaoDai
6406004,4,俪影飞星带,105,81,0,4,本装备为PVP装,铁爪飞寒芒，扇影凝星霜。千点追万点，流萤效孤芳。,9,1,1,1,2000,0,0,0,0,172,137,0,0,0,36,0,29,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_belt_M_M_TM_0013,,稀有装,64002,2,YaoDai
6406005,4,寒影追魂带,110,85,0,4,本装备为PVP装,北斗迢迢意，广寒夜夜心。天高不盈尺，人间有千寻。,9,1,1,1,2000,0,0,0,0,181,145,0,0,0,45,0,36,0,0,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_belt_M_M_TM_0014,,稀有装,64003,2,YaoDai
6406006,4,晓月长空带,115,90,0,4,本装备为PVP装,天影飞丝线，丝网系斜月。小楼吹清笙，寂寂空长夜。,9,1,1,1,2000,0,0,0,0,191,153,0,0,0,53,0,42,0,0,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_belt_M_M_TM_0015,,稀有装,64004,2,YaoDai
6506001,0,云海蹑踪带,1,1,0,0,,沧海卷层云，日月送尘心。至柔骋至坚，众妙何纷纭。,0,0,0,0,1000,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_belt_M_M_ZW_0005,,新手装,0,1,YaoDai
6506002,1,玄虚清镜带,8,6,0,0,,天得一以清，地得一以宁。神得一以灵，谷得一以盈。,0,0,0,0,1200,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_belt_M_M_ZW_0004,,任务装PVE,0,1,YaoDai
6506003,4,画水微明带,97,65,0,0,本装备为PVP装,道冲久不盈，和光同其尘。上善如真武，剑画水无痕。,6,1,1,1,2000,0,0,0,0,154,123,0,0,0,45,0,17,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_belt_M_M_ZW_0006,,稀有装,65001,2,YaoDai
6506004,4,澹云未雨带,105,81,0,0,本装备为PVP装,澹云天化雨，剑气扰晴空。玄牝摄微渺，驱影济长风。,9,1,1,1,2000,0,0,0,0,172,138,0,0,0,50,0,19,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_belt_M_M_ZW_0007,,稀有装,65002,2,YaoDai
6506005,4,拂雨冲云带,110,85,0,0,本装备为PVP装,将夺必先予，将弱必固强。将拂眉间雨，必破云外墙。,9,1,1,1,2000,0,0,0,0,181,152,0,0,0,59,0,23,0,0,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_belt_M_M_ZW_0008,,稀有装,65003,2,YaoDai
6506006,4,玄机空濛带,115,90,0,0,本装备为PVP装,道心柔且坚，江湖纷且烦。拂衣送君去，空濛云海间。,9,1,1,1,2000,0,0,0,0,191,166,0,0,0,69,0,27,0,0,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_belt_M_M_ZW_0009,,稀有装,65004,2,YaoDai
