id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6014001,1,匠铸·彩金镯,40,31,0,-1,本装备为PVP装,,2,1,1,1,1200,17,21,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,ICON_64_equip_shouzhuo_jingzhihuangtong_lv01,,制造装,0,2,ShouZhuo
6014002,1,匠铸·玛瑙镯,50,41,0,-1,本装备为PVP装,,2,1,1,1,1200,23,29,0,0,0,0,0,0,15,0,12,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,108,ICON_64_equip_shouzhuo_xiangmanaoyin_lv01,,制造装,0,2,ShouZhuo
6014003,1,匠铸·明珠镯,60,51,0,-1,本装备为PVP装,,4,1,1,1,1200,31,38,0,0,0,0,0,0,19,0,15,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,144,ICON_64_equip_shouzhuo_xiangzhenzhuyin_lv02,,制造装,0,2,ShouZhuo
6014004,1,匠铸·镶宝镯,70,61,0,-1,本装备为PVP装,,6,1,1,1,1200,41,50,0,0,0,0,0,0,23,0,18,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,192,ICON_64_equip_shouzhuo_xiangyuyin_lv02,,制造装,0,2,ShouZhuo
6014005,1,匠铸·淬珑镯,80,70,0,-1,本装备为PVP装,,8,1,1,1,1200,53,65,0,0,0,0,0,0,27,0,21,0,0,0,22,0,0,0,0,0,0,0,11,0,0,0,240,ICON_64_equip_shouzhuo_jingzhixiangyuyin_lv02,,制造装,0,2,ShouZhuo
6014006,1,匠铸·鎏金镯,90,70,0,-1,本装备为PVP装,,9,1,1,1,1200,69,85,0,0,0,0,0,0,31,0,25,0,0,0,30,0,0,0,0,0,0,0,15,0,0,0,300,icon_64_equip_shouzhuo_zhuyujin_LV02,,制造装（弃用）,0,2,ShouZhuo
6014007,2,师铸·彩金镯,45,31,0,-1,本装备为PVP装,,2,1,1,1,1500,20,25,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,ICON_64_equip_shouzhuo_jingzhihuangtong_lv02,,制造装,0,2,ShouZhuo
6014008,2,师铸·玛瑙镯,55,41,0,-1,本装备为PVP装,,2,1,1,1,1500,27,33,0,0,0,0,0,0,17,0,14,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,216,ICON_64_equip_shouzhuo_xiangmanaoyin_lv02,,制造装,0,2,ShouZhuo
6014009,2,师铸·明珠镯,65,51,0,-1,本装备为PVP装,,4,1,1,1,1500,36,44,0,0,0,0,0,0,21,0,17,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,288,ICON_64_equip_shouzhuo_xiangzhenzhuyin_lv03,,制造装,0,2,ShouZhuo
6014010,2,师铸·镶宝镯,75,61,0,-1,本装备为PVP装,,6,1,1,1,1500,46,57,0,0,0,0,0,0,25,0,20,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,384,ICON_64_equip_shouzhuo_xiangyuyin_lv03,,制造装,0,2,ShouZhuo
6014011,2,师铸·淬珑镯,85,70,0,-1,本装备为PVP装,,8,1,1,1,1500,61,75,0,0,0,0,0,0,29,0,23,0,0,0,26,0,0,0,0,0,0,0,13,0,0,0,480,ICON_64_equip_shouzhuo_jingzhixiangyuyin_lv03,,制造装,0,2,ShouZhuo
6014012,2,师铸·鎏金镯,95,70,0,-1,本装备为PVP装,,9,1,1,1,1500,77,95,0,0,0,0,0,0,33,0,26,0,0,0,34,0,0,0,0,0,0,0,17,0,0,0,600,icon_64_equip_shouzhuo_zhuyujin_LV03,,制造装（弃用）,0,2,ShouZhuo
6014013,3,神铸·玛瑙镯,67,41,0,-1,本装备为PVP装,,2,1,1,1,1800,38,46,0,0,0,0,0,0,22,0,17,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,432,ICON_64_equip_shouzhuo_xiangmanaoyin_lv03,,制造装（不再投放）,0,2,ShouZhuo
6014014,3,神铸·明珠镯,77,51,0,-1,本装备为PVP装,,4,1,1,1,1800,49,60,0,0,0,0,0,0,26,0,20,0,0,0,18,0,0,0,0,0,0,0,9,0,0,0,576,ICON_64_equip_shouzhuo_xiangzhenzhuyin_lv04,,制造装（不再投放）,0,2,ShouZhuo
6014015,3,神铸·镶宝镯,87,61,0,-1,本装备为PVP装,,6,1,1,1,1800,64,79,0,0,0,0,0,0,30,0,24,0,0,0,28,0,0,0,0,0,0,0,14,0,0,0,768,ICON_64_equip_shouzhuo_xiangyuyin_lv04,,制造装（不再投放）,0,2,ShouZhuo
6014016,3,神铸·淬珑镯,97,70,0,-1,本装备为PVP装,,8,1,1,1,1800,81,99,0,0,0,0,0,0,34,0,27,0,0,0,36,0,0,0,0,0,0,0,18,0,0,0,960,ICON_64_equip_shouzhuo_jingzhixiangyuyin_lv03,,制造装（不再投放）,0,2,ShouZhuo
6014017,3,神铸·鎏金镯,105,70,0,-1,本装备为PVP装,,9,1,1,1,1800,94,115,0,0,0,0,0,0,36,0,29,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,1200,icon_64_equip_shouzhuo_zhuyujin_LV04,,制造装（弃用）,0,2,ShouZhuo
6014018,4,龙翡镯,97,65,0,-1,本装备为PVP装,,6,1,1,1,2000,86,105,0,0,0,0,0,0,35,0,28,0,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,ICON_64_Material_YinLongFeiCuiShouShi(ShouZhuo)(Jin),,稀有装,0,2,ShouZhuo
6014019,4,璧光镯,110,85,0,-1,本装备为PVP装,,9,1,1,1,2000,120,147,0,0,0,0,0,0,45,0,36,0,0,0,44,0,0,0,0,0,0,0,22,0,0,0,4800,ICON_64_Material_BaiYuXiangYinShouShi(ShouZhuo)(Jin),,稀有装,0,2,ShouZhuo
6014020,4,逆鳞镯,115,90,0,-1,本装备为PVP装,,9,1,1,1,2000,140,171,0,0,0,0,0,0,53,0,42,0,0,0,46,0,0,0,0,0,0,0,23,0,0,0,6000,ICON_64_Material_JinLongYuShiShouShi(ShouZhuo)(Jin),,稀有装,0,2,ShouZhuo
6014021,4,翼蝶镯,105,81,0,-1,本装备为PVP装,,9,1,1,1,2000,103,126,0,0,0,0,0,0,36,0,29,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,6000,ICON_64_Material_FengDieLiuJinNuanYuShouShi(ShouZhuo)(Jin),,稀有装,0,2,ShouZhuo
6014022,1,黄铜镯,28,21,0,-1,,,0,0,0,0,1200,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,1,0,48,ICON_64_equip_shouzhuo_baishi,,任务装PVE,0,1,ShouZhuo
6014023,1,碧玉镯,38,31,0,-1,本装备为PVP装,,2,1,1,1,1500,16,20,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,ICON_64_equip_shouzhuo_xiangjin,,不再投放的旧版任务装,0,2,ShouZhuo
6014024,1,瑶光镯,48,41,0,-1,本装备为PVP装,,2,1,1,1,1500,22,27,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,ICON_64_equip_shouzhuo_chenmu,,不再投放的旧版任务装,0,2,ShouZhuo
6014025,2,菩提镯,63,51,0,-1,本装备为PVP装,,4,1,1,1,1500,34,42,0,0,0,0,0,0,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,ICON_64_equip_shouzhuo_moyv,,不再投放的旧版任务装,0,2,ShouZhuo
