id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6105001,0,秦川逐雪腕,1,1,0,1,,飒沓流星剑，白羽没青衫。中原有侠客，一马下冰川。,0,0,0,0,1000,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_cuff_M_M_TB_0002,Armor_TB_M_Cuff_0001,新手装,0,1,HuWan
6105002,1,剑鸣广陌腕,8,7,0,1,,锈剑匣中鸣，拭来紫光寒。冰雪何阡陌？回风舞残垣。,0,0,0,0,1200,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_cuff_M_M_TB_0011,Armor_TB_M_Cuff_0002,任务装PVE,0,1,HuWan
6105003,4,剑啸寒川腕,97,65,0,1,本装备为PVP装,长河冻如铁，朔风冷似针。一剑一白马，飞鸿踏雪痕。,6,1,1,1,2000,0,0,0,0,140,100,0,0,26,0,0,36,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_cuff_M_M_TB_0009,Armor_TB_M_Cuff_0003,稀有装,61001,2,HuWan
6105004,4,秦风唱晚腕,105,81,0,1,本装备为PVP装,秦川何渺渺，落日浅如蓝。迤逦折冰雪，一鞘剑光寒。,9,1,1,1,2000,0,0,0,0,154,111,0,0,29,0,0,42,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_cuff_M_M_TB_0010,Armor_TB_M_Cuff_0004,稀有装,61002,2,HuWan
6105005,4,朔风吟月腕,110,85,0,1,本装备为PVP装,论武需思量，沉剑长梦萦。归去掩青卷，江湖不留名。,9,1,1,1,2000,0,0,0,0,163,117,0,0,33,0,0,46,0,0,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_cuff_M_M_TB_0013,Armor_TB_M_Cuff_0005,稀有装,61003,2,HuWan
6105006,4,孤影极寒腕,115,90,0,1,本装备为PVP装,千山飞鸟渡，冰雪误空船。寒夜惊回风，孤影何时还。,9,1,1,1,2000,0,0,0,0,172,123,0,0,38,0,0,54,0,0,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_cuff_M_M_TB_0014,Armor_TB_M_Cuff_0006,稀有装,61004,2,HuWan
6205001,0,燕云飞沙腕,1,1,0,2,,罡风卷铁马，大浪吹黄沙。挽弓射夜月，陈兵向天涯。,0,0,0,0,1000,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_cuff_M_M_SW_0020,Armor_SW_M_Cuff_0001,新手装,0,1,HuWan
6205002,1,七月流火腕,8,7,0,2,,心宿正中天，流火归岁节。平林长漠漠，征战犹未绝。,0,0,0,0,1200,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_cuff_M_M_SW_0013,Armor_SW_M_Cuff_0002,任务装PVE,0,1,HuWan
6205003,4,勇冠三军腕,97,65,0,2,本装备为PVP装,战甲依然在，千里可穿杨。凝影含清光，铁臂挽神枪。,6,1,1,1,2000,0,0,0,0,148,94,0,0,36,0,0,26,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_cuff_M_M_SW_0014,Armor_SW_M_Cuff_0003,稀有装,62001,2,HuWan
6205004,4,扬沙万里腕,105,81,0,2,本装备为PVP装,瀚海白骨枯，飞砂掩旱湖。荒碑不可立，何疆不是墓。,9,1,1,1,2000,0,0,0,0,162,103,0,0,42,0,0,29,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_cuff_M_M_SW_0015,Armor_SW_M_Cuff_0004,稀有装,62002,2,HuWan
