id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6009001,1,匠铸·峨眉刺,40,31,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,2,1,1,1,1200,17,21,0,0,0,0,0,0,7,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,ICON_64_equip_anqi_emeici_lv01,,制造装,0,2,AnQi
6009002,1,匠铸·透骨钉,50,41,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,2,1,1,1,1200,23,29,0,0,0,0,0,0,9,9,0,11,0,0,4,0,0,0,0,0,0,0,2,0,0,0,108,ICON_64_equip_anqi_touguding_lv01,,制造装,0,2,AnQi
6009003,1,匠铸·如意珠,60,51,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,4,1,1,1,1200,31,38,0,0,0,0,0,0,12,12,0,13,0,0,8,0,0,0,0,0,0,0,4,0,0,0,144,ICON_64_equip_anqi_ruyizhu_lv01,,制造装,0,2,AnQi
6009004,1,匠铸·暗弩,70,61,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,6,1,1,1,1200,41,50,0,0,0,0,0,0,14,14,0,16,0,0,12,0,0,0,0,0,0,0,6,0,0,0,192,ICON_64_equip_anqi_annu_lv01,,制造装,0,2,AnQi
6009005,1,匠铸·霹雳弹,80,70,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,8,1,1,1,1200,53,65,0,0,0,0,0,0,16,16,0,19,0,0,22,0,0,0,0,0,0,0,11,0,0,0,240,ICON_64_equip_anqi_pilidan_lv01,,制造装,0,2,AnQi
6009006,1,匠铸·飞刀,90,70,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,9,1,1,1,1200,69,85,0,0,0,0,0,0,18,18,0,22,0,0,30,0,0,0,0,0,0,0,15,0,0,0,300,ICON_64_equip_anqi_feidao_lv01,,制造装,0,2,AnQi
6009007,2,师铸·峨眉刺,45,31,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,2,1,1,1,1500,20,25,0,0,0,0,0,0,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,ICON_64_equip_anqi_emeici_lv02,,制造装,0,2,AnQi
6009008,2,师铸·透骨钉,55,41,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,2,1,1,1,1500,27,33,0,0,0,0,0,0,10,10,0,12,0,0,6,0,0,0,0,0,0,0,3,0,0,0,216,ICON_64_equip_anqi_touguding_lv02,,制造装,0,2,AnQi
6009009,2,师铸·如意珠,65,51,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,4,1,1,1,1500,36,44,0,0,0,0,0,0,13,13,0,15,0,0,10,0,0,0,0,0,0,0,5,0,0,0,288,ICON_64_equip_anqi_ruyizhu_lv02,,制造装,0,2,AnQi
6009010,2,师铸·暗弩,75,61,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,6,1,1,1,1500,46,57,0,0,0,0,0,0,15,15,0,18,0,0,16,0,0,0,0,0,0,0,8,0,0,0,384,ICON_64_equip_anqi_annu_lv02,,制造装,0,2,AnQi
6009011,2,师铸·霹雳弹,85,70,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,8,1,1,1,1500,61,75,0,0,0,0,0,0,17,17,0,20,0,0,26,0,0,0,0,0,0,0,13,0,0,0,480,ICON_64_equip_anqi_pilidan_lv02,,制造装,0,2,AnQi
6009012,2,师铸·飞刀,95,70,0,-1,装备暗器后，可使用“飞花摘叶”技能。<br>本装备为PVP装,,9,1,1,1,1500,77,95,0,0,0,0,0,0,20,20,0,23,0,0,34,0,0,0,0,0,0,0,17,0,0,0,600,ICON_64_equip_anqi_feidao_lv02,,制造装,0,2,AnQi
