id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6103001,0,秦川逐雪冠,1,1,0,1,,飒沓流星剑，白羽没青衫。中原有侠客，一马下冰川。,0,0,0,0,1000,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_head_M_M_TB_0002,Armor_TB_M_Head_0001,新手装,0,1,TouShi
6103002,1,剑鸣广陌冠,8,7,0,1,,锈剑匣中鸣，拭来紫光寒。冰雪何阡陌？回风舞残垣。,0,0,0,0,1200,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_head_M_M_TB_0011,Armor_TB_M_Head_0002,任务装PVE,0,1,TouShi
6103003,4,剑啸寒川冠,97,65,0,1,本装备为PVP装,长河冻如铁，朔风冷似针。一剑一白马，飞鸿踏雪痕。,6,1,1,1,2000,0,0,0,0,188,135,0,0,0,26,0,38,44,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_head_M_M_TB_0009,Armor_TB_M_Head_0003,稀有装,61001,2,TouShi
6103004,4,秦风唱晚冠,105,81,0,1,本装备为PVP装,秦川何渺渺，落日浅如蓝。迤逦折冰雪，一鞘剑光寒。,9,1,1,1,2000,0,0,0,0,206,147,0,0,0,29,0,44,45,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_head_M_M_TB_0010,Armor_TB_M_Head_0004,稀有装,61002,2,TouShi
6103005,4,朔风吟月冠,110,85,0,1,本装备为PVP装,论武需思量，沉剑长梦萦。归去掩青卷，江湖不留名。,9,1,1,1,2000,0,0,0,0,217,156,0,0,0,34,0,54,43,1,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_head_M_M_TB_0013,Armor_TB_M_Head_0005,稀有装,61003,2,TouShi
6103006,4,孤影极寒冠,115,90,0,1,本装备为PVP装,千山飞鸟渡，冰雪误空船。寒夜惊回风，孤影何时还。,9,1,1,1,2000,0,0,0,0,229,164,0,0,0,40,0,64,50,1.5,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_head_M_M_TB_0014,Armor_TB_M_Head_0006,稀有装,61004,2,TouShi
6203001,0,燕云飞沙冠,1,1,0,2,,罡风卷铁马，大浪吹黄沙。挽弓射夜月，陈兵向天涯。,0,0,0,0,1000,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_head_M_M_SW_0020,Armor_SW_M_Head_0001,新手装,0,1,TouShi
6203002,1,七月流火冠,8,7,0,2,,心宿正中天，流火归岁节。平林长漠漠，征战犹未绝。,0,0,0,0,1200,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_head_M_M_SW_0013,Armor_SW_M_Head_0002,任务装PVE,0,1,TouShi
6203003,4,勇冠三军冠,97,65,0,2,本装备为PVP装,战甲依然在，千里可穿杨。凝影含清光，铁臂挽神枪。,6,1,1,1,2000,0,0,0,0,188,135,0,0,21,26,0,23,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_head_M_M_SW_0014,Armor_SW_M_Head_0003,稀有装,62001,2,TouShi
6203004,4,扬沙万里冠,105,81,0,2,本装备为PVP装,瀚海白骨枯，飞砂掩旱湖。荒碑不可立，何疆不是墓。,9,1,1,1,2000,0,0,0,0,206,147,0,0,24,29,0,25,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_head_M_M_SW_0015,Armor_SW_M_Head_0004,稀有装,62002,2,TouShi
6203005,4,扬名千秋冠,110,85,0,2,本装备为PVP装,天龙破阵处，威名万古扬。碧血映丹心，纵死侠骨香。,9,1,1,1,2000,0,0,0,0,217,156,0,0,29,36,0,32,0,1,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_head_M_M_SW_0016,Armor_SW_M_Head_0005,稀有装,62003,2,TouShi
6203006,4,碧血铭沙冠,115,90,0,2,本装备为PVP装,碧血掩紫陌，白骨嗅黄沙。当年未开国，雕弓射群鸦。,9,1,1,1,2000,0,0,0,0,229,164,0,0,34,42,0,37,0,1.5,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_head_M_M_SW_0017,Armor_SW_M_Head_0006,稀有装,62004,2,TouShi
6303001,0,醉饮湖湘冠,1,1,0,3,,猱身缚长龙，醉眼擒大虫。何曾乞富贵？笑卧江湖中。,0,0,0,0,1000,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_head_K_K_GB_0014,Armor_GB_M_Head_0001,新手装,0,1,TouShi
6303002,1,侠影疏狂冠,8,7,0,3,,人隐山水中，市井亦降龙。一拳打一腿，天地宽如钟。,0,0,0,0,1200,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_head_K_K_GB_0013,Armor_GB_M_Head_0002,任务装PVE,0,1,TouShi
6303003,4,侠骨多情冠,97,65,0,3,本装备为PVP装,威武不肯屈，富贵不愿淫。醉来不觉醒，犹记我多情。,6,1,1,1,2000,0,0,0,0,188,135,0,0,0,19,0,16,29,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_head_K_K_GB_0015,Armor_GB_M_Head_0003,稀有装,63001,2,TouShi
6303004,4,醉打西风冠,105,81,0,3,本装备为PVP装,饮中有真仙，心远不能闲。江湖独酌夜，西风扑面来。,9,1,1,1,2000,0,0,0,0,206,147,0,0,0,22,0,18,33,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_head_K_K_GB_0016,Armor_GB_M_Head_0004,稀有装,63002,2,TouShi
6303005,4,醉卷黄河冠,110,85,0,3,本装备为PVP装,肝胆大如斗，脊骨硬如山。天作穹庐被，醉卧黄河边。,9,1,1,1,2000,0,0,0,0,217,156,0,0,0,27,0,23,41,1,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_head_K_K_GB_0017,Armor_GB_M_Head_0005,稀有装,63003,2,TouShi
6303006,4,酩酊风流冠,115,90,0,3,本装备为PVP装,胡姬纵歌舞，扰人清宵梦。酩酊醉不得，空窗几度风。,9,1,1,1,2000,0,0,0,0,229,164,0,0,0,32,0,27,48,1.5,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_head_M_M_GB_0018,Armor_GB_M_Head_0006,稀有装,63004,2,TouShi
6403001,0,竹影飞花冠,1,1,0,4,,天梯勾石栈，逍遥出蜀山。漫天飞花雨，只影扇光寒。,0,0,0,0,1000,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_head_M_M_TM_0011,Armor_TM_M_Head_0001,新手装,0,1,TouShi
6403002,1,琼林倚风冠,8,7,0,4,,飞花疑是梦，摘叶破白云。长啸关不住，几多清光影。,0,0,0,0,1200,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_head_M_M_TM_0010,Armor_TM_M_Head_0002,任务装PVE,0,1,TouShi
6403003,4,琼宫弄月冠,97,65,0,4,本装备为PVP装,瞬息人天上，瞬息月影下。见血封喉处，铁骨半含纱。,6,1,1,1,2000,0,0,0,0,179,143,0,0,0,23,0,41,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_head_M_M_TM_0012,Armor_TM_M_Head_0003,稀有装,64001,2,TouShi
6403004,4,俪影飞星冠,105,81,0,4,本装备为PVP装,铁爪飞寒芒，扇影凝星霜。千点追万点，流萤效孤芳。,9,1,1,1,2000,0,0,0,0,196,157,0,0,0,25,0,47,0,0,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_head_M_M_TM_0013,Armor_TM_M_Head_0004,稀有装,64002,2,TouShi
6403005,4,寒影追魂冠,110,85,0,4,本装备为PVP装,北斗迢迢意，广寒夜夜心。天高不盈尺，人间有千寻。,9,1,1,1,2000,0,0,0,0,207,165,0,0,0,32,0,59,0,1,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_head_M_M_TM_0014,Armor_TM_M_Head_0005,稀有装,64003,2,TouShi
6403006,4,晓月长空冠,115,90,0,4,本装备为PVP装,天影飞丝线，丝网系斜月。小楼吹清笙，寂寂空长夜。,9,1,1,1,2000,0,0,0,0,218,175,0,0,0,37,0,69,0,1.5,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_head_M_M_TM_0015,Armor_TM_M_Head_0006,稀有装,64004,2,TouShi
6503001,0,云海蹑踪冠,1,1,0,0,,沧海卷层云，日月送尘心。至柔骋至坚，众妙何纷纭。,0,0,0,0,1000,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_head_M_M_ZW_0005,Armor_ZW_M_Head_0001,新手装,0,1,TouShi
6503002,1,玄虚清镜冠,8,7,0,0,,天得一以清，地得一以宁。神得一以灵，谷得一以盈。,0,0,0,0,1200,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_head_M_M_ZW_0004,Armor_ZW_M_Head_0002,任务装PVE,0,1,TouShi
