id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6108001,0,秦川逐雪履,1,1,0,1,,飒沓流星剑，白羽没青衫。中原有侠客，一马下冰川。,0,0,0,0,1000,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_pants_M_M_TB_0002,Armor_TB_M_Pants_0001,新手装,0,1,XieZi
6108002,1,剑鸣广陌履,8,8,0,1,,锈剑匣中鸣，拭来紫光寒。冰雪何阡陌？回风舞残垣。,0,0,0,0,1200,0,0,0,0,20,14,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_pants_M_M_TB_0011,Armor_TB_M_Pants_0002,任务装PVE,0,1,XieZi
6108003,4,剑啸寒川履,97,65,0,1,本装备为PVP装,长河冻如铁，朔风冷似针。一剑一白马，飞鸿踏雪痕。,6,1,1,1,2000,0,0,0,0,212,151,0,0,32,0,0,0,41,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_pants_M_M_TB_0009,Armor_TB_M_Pants_0003,稀有装,61001,2,XieZi
6108004,4,秦风唱晚履,105,81,0,1,本装备为PVP装,秦川何渺渺，落日浅如蓝。迤逦折冰雪，一鞘剑光寒。,9,1,1,1,2000,0,0,0,0,232,166,0,0,36,0,0,0,47,1,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_pants_M_M_TB_0010,Armor_TB_M_Pants_0004,稀有装,61002,2,XieZi
6108005,4,朔风吟月履,110,85,0,1,本装备为PVP装,论武需思量，沉剑长梦萦。归去掩青卷，江湖不留名。,9,1,1,1,2000,0,0,0,0,244,175,0,0,41,0,0,0,52,1.5,44,0,0,0,0,0,0,0,22,0,0,0,6000,icon_64_equip_pants_M_M_TB_0013,Armor_TB_M_Pants_0005,稀有装,61003,2,XieZi
6108006,4,孤影极寒履,115,90,0,1,本装备为PVP装,千山飞鸟渡，冰雪误空船。寒夜惊回风，孤影何时还。,9,1,1,1,2000,0,0,0,0,258,185,0,0,48,0,0,0,61,2,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_pants_M_M_TB_0014,Armor_TB_M_Pants_0006,稀有装,61004,2,XieZi
6208001,0,燕云飞沙履,1,1,0,2,,罡风卷铁马，大浪吹黄沙。挽弓射夜月，陈兵向天涯。,0,0,0,0,1000,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_pants_M_M_SW_0020,Armor_SW_M_Pants_0001,新手装,0,1,XieZi
6208002,1,七月流火履,8,8,0,2,,心宿正中天，流火归岁节。平林长漠漠，征战犹未绝。,0,0,0,0,1200,0,0,0,0,21,14,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_pants_M_M_SW_0013,Armor_SW_M_Pants_0002,任务装PVE,0,1,XieZi
6208003,4,勇冠三军履,97,65,0,2,本装备为PVP装,战甲依然在，千里可穿杨。凝影含清光，铁臂挽神枪。,6,1,1,1,2000,0,0,0,0,221,141,0,0,47,0,0,0,26,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_pants_M_M_SW_0014,Armor_SW_M_Pants_0003,稀有装,62001,2,XieZi
6208004,4,扬沙万里履,105,81,0,2,本装备为PVP装,瀚海白骨枯，飞砂掩旱湖。荒碑不可立，何疆不是墓。,9,1,1,1,2000,0,0,0,0,243,155,0,0,55,0,0,0,29,1,40,0,0,0,0,0,0,0,20,0,0,0,4800,icon_64_equip_pants_M_M_SW_0015,Armor_SW_M_Pants_0004,稀有装,62002,2,XieZi
