id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6016001,1,匠铸·彩金戒,40,31,0,-1,本装备为PVP装,,2,1,1,1,1200,0,0,9,11,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,72,ICON_64_equip_jiezhi_jingzhihuangtong_lv01,,制造装,0,2,JieZhi
6016002,1,匠铸·玛瑙戒,50,41,0,-1,本装备为PVP装,,2,1,1,1,1200,0,0,14,18,0,0,0,0,0,0,0,14,11,0,4,0,0,0,0,0,0,0,2,0,0,0,108,ICON_64_equip_jiezhi_xiangmanaoyin_lv01,,制造装,0,2,JieZhi
6016003,1,匠铸·明珠戒,60,51,0,-1,本装备为PVP装,,4,1,1,1,1200,0,0,23,29,0,0,0,0,0,0,0,17,13,0,8,0,0,0,0,0,0,0,4,0,0,0,144,ICON_64_equip_jiezhi_xiangzhenzhu_lv02,,制造装,0,2,JieZhi
6016004,1,匠铸·镶宝戒,70,61,0,-1,本装备为PVP装,,6,1,1,1,1200,0,0,32,41,0,0,0,0,0,0,0,21,16,0,12,0,0,0,0,0,0,0,6,0,0,0,192,ICON_64_equip_jiezhi_xiangyuyin_lv02,,制造装,0,2,JieZhi
6016005,1,匠铸·淬珑戒,80,70,0,-1,本装备为PVP装,,8,1,1,1,1200,0,0,43,55,0,0,0,0,0,0,0,24,19,0,22,0,0,0,0,0,0,0,11,0,0,0,240,ICON_64_equip_jiezhi_jingzhixiangyuyin_lv02,,制造装,0,2,JieZhi
6016006,1,匠铸·鎏金戒,90,70,0,-1,本装备为PVP装,,9,1,1,1,1200,0,0,58,73,0,0,0,0,0,0,0,28,22,0,30,0,0,0,0,0,0,0,15,0,0,0,300,ICON_64_equip_jiezhi_zhuyujin_lv02,,制造装（弃用）,0,2,JieZhi
6016007,2,师铸·彩金戒,45,31,0,-1,本装备为PVP装,,2,1,1,1,1500,0,0,11,14,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,144,ICON_64_equip_jiezhi_jingzhihuangtong_lv02,,制造装,0,2,JieZhi
6016008,2,师铸·玛瑙戒,55,41,0,-1,本装备为PVP装,,2,1,1,1,1500,0,0,18,23,0,0,0,0,0,0,0,15,12,0,6,0,0,0,0,0,0,0,3,0,0,0,216,ICON_64_equip_jiezhi_xiangmanaoyin_lv02,,制造装,0,2,JieZhi
6016009,2,师铸·明珠戒,65,51,0,-1,本装备为PVP装,,4,1,1,1,1500,0,0,28,35,0,0,0,0,0,0,0,19,15,0,10,0,0,0,0,0,0,0,5,0,0,0,288,ICON_64_equip_jiezhi_xiangzhenzhu_lv03,,制造装,0,2,JieZhi
6016010,2,师铸·镶宝戒,75,61,0,-1,本装备为PVP装,,6,1,1,1,1500,0,0,37,46,0,0,0,0,0,0,0,24,19,0,16,0,0,0,0,0,0,0,8,0,0,0,384,ICON_64_equip_jiezhi_xiangyuyin_lv03,,制造装,0,2,JieZhi
