id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6015001,1,月影·秀骨,40,31,0,-1,本装备为PVP装,,2,1,1,1,1200,0,0,0,0,65,52,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,72,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015002,1,月影·绮年,50,41,0,-1,本装备为PVP装,,2,1,1,1,1200,0,0,0,0,80,64,0,0,0,0,11,0,15,0,4,0,0,0,0,0,0,0,2,0,0,0,108,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015003,1,月影·艳心,60,51,0,-1,本装备为PVP装,,4,1,1,1,1200,0,0,0,0,101,81,0,0,0,0,13,0,19,0,8,0,0,0,0,0,0,0,4,0,0,0,144,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015004,1,月影·明魄,70,61,0,-1,本装备为PVP装,,6,1,1,1,1200,0,0,0,0,123,98,0,0,0,0,16,0,23,0,12,0,0,0,0,0,0,0,6,0,0,0,192,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015005,1,月影·孤川,80,70,0,-1,本装备为PVP装,,8,1,1,1,1200,0,0,0,0,144,115,0,0,0,0,19,0,27,0,22,0,0,0,0,0,0,0,11,0,0,0,240,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015006,1,月影·无邪,90,70,0,-1,本装备为PVP装,,9,1,1,1,1200,0,0,0,0,166,132,0,0,0,0,22,0,31,0,30,0,0,0,0,0,0,0,15,0,0,0,300,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015007,2,环姿·秀骨,45,31,0,-1,本装备为PVP装,,2,1,1,1,1500,0,0,0,0,72,58,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015008,2,环姿·绮年,55,41,0,-1,本装备为PVP装,,2,1,1,1,1500,0,0,0,0,91,72,0,0,0,0,12,0,17,0,6,0,0,0,0,0,0,0,3,0,0,0,216,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015009,2,环姿·艳心,65,51,0,-1,本装备为PVP装,,4,1,1,1,1500,0,0,0,0,112,90,0,0,0,0,15,0,21,0,10,0,0,0,0,0,0,0,5,0,0,0,288,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
6015010,2,环姿·明魄,75,61,0,-1,本装备为PVP装,,6,1,1,1,1500,0,0,0,0,133,107,0,0,0,0,18,0,25,0,16,0,0,0,0,0,0,0,8,0,0,0,384,icon_64_equip_undies_M_M_NeiYi_0003,NPCAVATAR_NeiYi_M_0005,制造装,0,2,NeiChen
