id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6101001,0,长剑,1,1,0,1,,,0,0,0,0,1000,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_main_TB_Jian_0001,Weapon_TB_M_Main_1001,新手装,0,1,ZhuWuQi
6101002,0,轻铁剑,5,1,0,1,,,0,0,0,0,1000,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_main_TB_Jian_0002,Weapon_TB_M_Main_1002,任务装PVE,0,1,ZhuWuQi
6101003,1,精钢剑,8,5,0,1,,,0,0,0,0,1200,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_main_TB_Jian_0003,Weapon_TB_M_Main_1003,任务装PVE,0,1,ZhuWuQi
6101004,1,青锋剑,18,11,0,1,,,0,0,0,0,1200,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,24,icon_64_equip_main_TB_Jian_0004,Weapon_TB_M_Main_1004,任务装PVE,0,1,ZhuWuQi
6101005,1,清云剑,28,21,0,1,,,0,0,0,0,1200,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,1,0,48,icon_64_equip_main_TB_Jian_0005,Weapon_TB_M_Main_1005,任务装PVE,0,1,ZhuWuQi
6101006,1,白虹剑,38,31,0,1,本装备为PVP装,,2,1,1,1,1500,38,47,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_main_TB_Jian_0006,Weapon_TB_M_Main_1006,不再投放的旧版任务装,0,2,ZhuWuQi
6101007,1,太阿剑,48,41,0,1,本装备为PVP装,,2,1,1,1,1500,51,63,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,icon_64_equip_main_TB_Jian_0007,Weapon_TB_M_Main_1007,不再投放的旧版任务装,0,2,ZhuWuQi
6101008,2,金阙剑,63,51,0,1,本装备为PVP装,,4,1,1,1,1500,79,97,0,0,0,0,0,0,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,icon_64_equip_main_TB_Jian_0008,Weapon_TB_M_Main_1008,不再投放的旧版任务装,0,2,ZhuWuQi
6101009,2,盘岭剑,73,61,0,1,本装备为PVP装,,6,1,1,1,1500,103,127,0,0,0,0,0,0,21,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,icon_64_equip_main_TB_Jian_0009,Weapon_TB_M_Main_1009,不再投放的旧版任务装,0,2,ZhuWuQi
6101010,2,寒川剑,83,70,0,1,本装备为PVP装,,8,1,1,1,1500,135,166,0,0,0,0,0,0,24,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,icon_64_equip_main_TB_Jian_0010,Weapon_TB_M_Main_1010,不再投放的旧版任务装,0,2,ZhuWuQi
6101011,1,九天剑,85,70,0,1,本装备为PVP装,,9,1,1,1,1500,142,174,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,icon_64_equip_main_TB_Jian_0011,Weapon_TB_M_Main_1011,未投放装备,0,2,ZhuWuQi
6101012,1,龙纹剑,40,31,0,1,本装备为PVP装,,2,1,1,1,1200,40,50,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,icon_64_equip_main_TB_Jian_0012,Weapon_TB_M_Main_1012,制造装,0,2,ZhuWuQi
6101013,1,凤仪剑,50,41,0,1,本装备为PVP装,,2,1,1,1,1200,54,67,0,0,0,0,0,0,13,0,0,14,0,0,4,0,0,0,0,0,0,0,2,0,0,0,108,icon_64_equip_main_TB_Jian_0013,Weapon_TB_M_Main_1013,制造装,0,2,ZhuWuQi
